user_id,cohort_id,educational_status,session_count,approved_projects
656,71,ACTIVE,2,
657,61,ACTIVE,,
657,71,ACTIVE,,
658,47,ACTIVE,,
658,61,ACTIVE,,
659,61,ACTIVE,,
659,71,ACTIVE,,
660,66,ACTIVE,,
660,67,ACTIVE,,
661,60,ACTIVE,,
662,44,ACTIVE,,
664,60,GRADUATED,,
664,53,GRADUATED,,
665,60,ACTIVE,,
666,44,ACTIVE,,
666,61,ACTIVE,,
667,60,ACTIVE,,
668,61,ACTIVE,,
668,71,ACTIVE,,
669,60,GRADUATED,,
669,53,GRADUATED,,
669,55,GRADUATED,,
670,60,GRADUATED,,
670,53,GRADUATED,,
671,60,GRADUATED,,
671,53,GRADUATED,,
672,44,ACTIVE,,
672,61,ACTIVE,,
673,63,ACTIVE,,
674,60,GRADUATED,,
674,58,GRADUATED,,
675,60,ACTIVE,,
676,60,ACTIVE,,
677,60,ACTIVE,,
678,60,ACTIVE,,
679,60,ACTIVE,,
680,60,ACTIVE,,
681,60,ACTIVE,,
682,60,ACTIVE,,
683,60,ACTIVE,,
684,60,GRADUATED,,
684,54,GRADUATED,,
685,60,ACTIVE,,
686,60,ACTIVE,,
687,60,ACTIVE,,
688,60,ACTIVE,,
689,60,ACTIVE,,
690,60,ACTIVE,,
691,60,ACTIVE,,
692,60,GRADUATED,,
692,59,GRADUATED,,
693,60,ACTIVE,,
694,60,ACTIVE,,
695,68,ACTIVE,,
695,61,ACTIVE,,
696,68,ACTIVE,,
696,61,ACTIVE,,
697,68,ACTIVE,,
697,61,ACTIVE,,
698,68,ACTIVE,,
699,68,ACTIVE,,
700,68,ACTIVE,,
701,68,ACTIVE,,
702,68,ACTIVE,,
1785,119,GRADUATED,,
704,68,ACTIVE,,
705,68,ACTIVE,,
706,68,ACTIVE,,
707,66,ACTIVE,,
707,67,ACTIVE,,
708,61,ACTIVE,,
708,71,ACTIVE,,
709,60,ACTIVE,,
710,61,ACTIVE,,
710,69,ACTIVE,,
711,60,GRADUATED,,
711,53,GRADUATED,,
711,58,GRADUATED,,
712,60,ACTIVE,,
713,60,GRADUATED,,
713,58,GRADUATED,,
714,61,ACTIVE,,
714,46,ACTIVE,,
715,61,ACTIVE,,
716,61,ACTIVE,,
717,61,ACTIVE,,
717,45,ACTIVE,,
718,60,ACTIVE,,
719,61,ACTIVE,,
719,71,ACTIVE,,
720,61,ACTIVE,,
720,71,ACTIVE,,
720,89,ACTIVE,,
721,61,ACTIVE,,
721,71,ACTIVE,,
722,61,ACTIVE,,
722,71,ACTIVE,,
723,71,ACTIVE,,
723,61,ACTIVE,,
724,60,GRADUATED,,
724,58,GRADUATED,,
725,61,ACTIVE,,
726,60,GRADUATED,,
726,53,GRADUATED,,
727,60,ACTIVE,,
728,60,ACTIVE,,
729,60,ACTIVE,,
730,60,ACTIVE,,
731,60,ACTIVE,,
732,60,ACTIVE,,
733,60,ACTIVE,,
734,60,ACTIVE,,
735,60,ACTIVE,,
736,60,ACTIVE,,
737,60,ACTIVE,,
738,60,ACTIVE,,
739,60,ACTIVE,,
740,60,ACTIVE,,
741,60,ACTIVE,,
742,60,ACTIVE,,
743,60,ACTIVE,,
744,60,ACTIVE,,
745,60,ACTIVE,,
746,60,ACTIVE,,
747,60,ACTIVE,,
748,60,ACTIVE,4,
748,87,ACTIVE,4,
749,60,ACTIVE,,
750,60,ACTIVE,,
751,72,ACTIVE,,
751,66,ACTIVE,,
752,72,ACTIVE,,
752,66,ACTIVE,,
753,61,ACTIVE,,
753,45,ACTIVE,,
754,61,ACTIVE,,
754,45,ACTIVE,,
755,61,ACTIVE,,
755,45,ACTIVE,,
756,71,ACTIVE,,
757,71,ACTIVE,,
757,61,ACTIVE,,
758,71,ACTIVE,,
758,61,ACTIVE,,
759,60,GRADUATED,,
759,54,GRADUATED,,
760,61,ACTIVE,,
760,45,ACTIVE,,
761,61,ACTIVE,,
761,69,ACTIVE,,
762,61,ACTIVE,,
762,45,ACTIVE,,
1429,66,ACTIVE,,
763,61,ACTIVE,,
763,45,ACTIVE,,
764,60,GRADUATED,,
764,55,GRADUATED,,
765,61,ACTIVE,,
765,45,ACTIVE,,
766,60,ACTIVE,,
767,60,ACTIVE,,
768,60,ACTIVE,,
769,60,ACTIVE,,
770,60,ACTIVE,,
771,60,ACTIVE,,
772,60,ACTIVE,,
773,60,ACTIVE,,
774,60,ACTIVE,,
775,60,ACTIVE,,
776,60,GRADUATED,,
776,54,GRADUATED,,
777,60,ACTIVE,,
778,60,ACTIVE,,
5725,490,ACTIVE,12,
780,60,GRADUATED,,
780,55,GRADUATED,,
781,60,ACTIVE,,
782,60,ACTIVE,,
783,60,ACTIVE,,
784,60,ACTIVE,,
785,60,ACTIVE,,
786,60,GRADUATED,,
787,60,ACTIVE,,
788,60,ACTIVE,,
789,66,ACTIVE,,
789,73,ACTIVE,,
790,45,ACTIVE,,
791,61,POSTPONED,,
791,45,POSTPONED,,
2148,60,ACTIVE,,
792,66,ACTIVE,,
792,72,ACTIVE,,
793,66,ACTIVE,,
793,72,ACTIVE,,
795,66,ACTIVE,2,
796,72,ACTIVE,,
796,66,ACTIVE,,
797,66,ACTIVE,,
797,72,ACTIVE,,
798,66,ACTIVE,,
798,72,ACTIVE,,
799,66,ACTIVE,,
2149,170,GRADUATED,1,
799,72,ACTIVE,,
800,66,ACTIVE,,
800,72,ACTIVE,,
801,66,ACTIVE,,
801,72,ACTIVE,,
802,66,ACTIVE,,
802,72,ACTIVE,,
803,66,ACTIVE,,
803,72,ACTIVE,,
804,66,ACTIVE,2,
804,72,ACTIVE,2,
805,60,GRADUATED,,
805,54,GRADUATED,,
806,66,ACTIVE,,
806,72,ACTIVE,,
807,72,ACTIVE,,
807,66,ACTIVE,,
807,61,ACTIVE,,
807,77,ACTIVE,,
808,60,ACTIVE,,
808,92,ACTIVE,,
809,60,ACTIVE,,3
809,55,ACTIVE,,
810,66,ACTIVE,2,
810,72,ACTIVE,2,
811,66,ACTIVE,,
811,72,ACTIVE,,
812,61,ACTIVE,,
812,46,ACTIVE,,
813,60,GRADUATED,,
813,59,GRADUATED,,
814,60,ACTIVE,,
815,66,ACTIVE,,
815,72,ACTIVE,,
817,61,ACTIVE,,
817,46,ACTIVE,,
818,61,ACTIVE,,
818,70,ACTIVE,,
820,61,ACTIVE,,
821,61,ACTIVE,,
821,46,ACTIVE,,
823,61,ACTIVE,46,
824,60,ACTIVE,,
825,61,ACTIVE,,
826,61,ACTIVE,,
827,60,ACTIVE,,
827,87,ACTIVE,,
828,46,ACTIVE,,
829,61,ACTIVE,,
829,70,ACTIVE,,
830,66,ACTIVE,,
830,73,ACTIVE,,
831,66,ACTIVE,1,
831,73,ACTIVE,1,
832,66,ACTIVE,,
832,73,ACTIVE,,
833,61,ACTIVE,,
833,46,ACTIVE,,
834,61,ACTIVE,,
834,46,ACTIVE,,
835,66,ACTIVE,,
835,73,ACTIVE,,
836,66,ACTIVE,,
836,73,ACTIVE,,
